技術スキル,その他特徴,金額,要約
"BPO事業経験, 業務設計推進経験, 顧客折衝経験, 補助金事業経験, 審査業務経験, システム開発知見","期間: 2026年2月～長期, 場所: 志茂駅or赤羽駅 (常駐/リモート相談可), 人数: 1名, 商流: 貴社まで, 面談: 2回 (2回目対面), 備考: 外国籍不可, 45歳まで希望, 指示待ちでなく自ら業務推進できる方, 人間性重視",90万円前後※スキル見合い,補助金事業における業務設計～運用支援案件。要件整理、業務設計推進、運用を担当し、顧客PMのサポートも行う。
"SQL, Oracle, VIEW","現場経験2年以上, コミュニケーション良好, 長期参画可能, 公共系システム保守・移行, 名古屋駅常駐, 出張あり, 商流浅い方優先, 40代まで, 外国籍不可","スキル見合い（45万円程度）, 清算幅140-180h",名古屋の公共系基幹システム保守・移行案件。SQL経験2年以上必須。Oracle/VIEW経験尚可。単価45万円程度。長期参画可能な40代までのエンジニアを募集。
"Bash, シェル, Java, AWS, Linux, Unix, DB2, WAS, JavaScript",天王洲アイル（基本出社、週1在宅可）、2月～長期、PG 2名募集（50代前半まで）、外国籍不可、個人事業主可、コミュニケーション力必須、銀行業務知識尚可,～60万,顧客システムをオンプレからAWSへ更改する案件で、Bashシェルを用いた保守開発エンジニアを募集。詳細設計以降の工程を担当。天王洲アイル勤務、2月～長期、単価～60万。
"PMO, 要件定義, スコープ定義, 英語, マーケティングオートメーション","楽天モバイル, マーケティング領域, スピード感, 常駐, 二子玉川, 貴社まで(1社先可), 40代まで",60万（スキル見合い）,楽天モバイルのマーケティング領域におけるPMO/要件定義/スコープ定義案件。英語必須。単価60万（スキル見合い）。二子玉川常駐。40代まで。
"Windows, Linux, VMware, JP1, サーバー維持保守, A-Auto, FortiGate/BIG-IP, HULFT, RedMine","案件名:勤怠管理、人事給与関連システムの維持保守, 契約形態:SES(準委任), 商流制限:御社まで, 期間:2026/2/1～, 場所:戸塚/舞岡(客先データセンター), 時間:シフト制(8-17時/13-22時), 休日出勤あり(月1回), 人数:1名, 面談:2回, その他:勤怠良好、戸塚通勤可能、勤務形態理解",～50万,EBAテックからのサーバー維持保守案件。勤怠管理・人事給与システム関連。Windows/Linux、VMware、JP1等のスキル必須。戸塚常駐、シフト制。単価～50万。1名募集。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, Struts, 仮想基盤, ミドルウェア","場所: 西葛西(常駐), 期間: 2026年1月～7月末, 面談: 2回, 商流: 元請け→上位→GFD, 年齢制限: 55歳まで, 外国籍不可, 自走できる方, コミュニケーション能力",75～80万円,"株式市場での不正行為情報共有システムの基盤更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、既存ソースのマイグレーション（RHEL, Oracle, Apache, Tomcat, WebSphere, Java, フレームワーク）を担当。"
"Prisma Access, SASE, NW, FW, M365, PaloAlto, CCNP",ハイブリッド勤務（高輪週3出社）、2026年2月開始（長期）、フリーランス可、地方要員不可、PM経験、ベンダーコントロール経験、コミュニケーション能力、課題解決能力,スキル見合い,某流通企業向けSASE（Prisma Access）導入プロジェクトにおけるネットワークセキュリティ刷新PM。構築は外部ベンダーが実施するため、PMとして推進・ベンダーコントロール・調整・進行管理・課題管理・品質管理がメイン業務。
"ネットワーク, TCP/IP, DNS, ルーティング, ハードウェア, サーバ運用, 監視, 障害対応, Vmware, Azure, Windows, ADサーバ, ドキュメンテーション, バックアップ","勤務地:名古屋, 募集:2名, 期間:26年1月～, 面談:1回, フリーランス可, 外国籍不可, セット提案可, 精算:140-180H, 業務委託(準委任), 休日対応あり",スキル見合い,"製造業向けインフラ基盤（仮想基盤, AD, 監視, Azure）の運用支援案件。ITIL基準のインシデント/要求/変更管理、各種イベント対応、報告業務。名古屋勤務で2名募集。"
"L2/L3ネットワーク機器(Cisco)設計構築, IDS/IPS, プロキシ, 無線AP(Aruba), ネットワークフォレンジック機器","勤務地:八丁堀常駐（市ヶ谷出社可能性あり、25年12月まで週1テレワーク検討可、26年1月以降基本出社）, 期間:1月以降-26年9月末予定, 面談:1回, 募集:1名, 貴社社員or貴社直個人事業主まで, 一定期間の土日日中帯作業許容（代休取得前提）, フリーランス可, 外国籍不可, セット提案可, 服装:オフィスカジュアル, 契約形態:業務委託契約(準委任), 官公庁向け経験尚可, エンドユーザ/ベンダ折衝経験尚可, 能動的に参画できる方","スキル見合い, 精算:140-180",官公庁向けOAシステム構築・設計支援案件。オンプレからM365導入を中心としたクラウドサービスへの移行に伴う、ネットワーク・セキュリティ設計、サービス設計、端末設計等。ネットワークチームの一員として、オンプレ側担当の設計構築を担う。
"ExO, Teams, Intune, M365, Azure AD, Graph API",官公庁向けOAシステム基盤運用支援、M365基盤運用チーム、八丁堀or大崎常駐、ASAP～長期、1名募集、面談1回、フリーランス可、外国籍不可、140H-180H精算,スキル見合い,"官公庁向けOAシステム基盤の運用支援案件。M365基盤運用チームにてExO, Teams, Intune, Azure AD等の経験を持つエンジニアを募集。八丁堀or大崎常駐、ASAP～長期、単価スキル見合い。"
"SD-WAN(Cisco Secure Access), Azureネットワーク設計構築, IDS/IPS, プロキシ, 官公庁向け経験, 折衝・コントロール経験","期間: 2025年1月以降-2026年9月末予定, 勤務地: 八丁堀常駐（市ヶ谷の可能性あり、2025年12月までは週1日程度のテレワーク検討可、2026年1月以降は基本出社）, 面談: 1回, 募集人数: 1名, 備考: 貴社社員or貴社直個人事業主優先、一定期間の土日日中帯作業許容（代休取得前提）, フリーランス: 可, 外国籍: 不可, セット提案: 可, 服装: オフィスカジュアル, 契約形態: 業務委託契約(準委任)",スキル見合い (精算: 140-180),官公庁向けOAシステムの設計・構築支援案件。オンプレからM365導入を中心としたクラウドサービスへの移行プロジェクトで、ネットワークチームの一員としてクラウド側の設計構築を担当。ネットワーク・セキュリティ設計、サービス設計、端末設計等を進める。
"OutSystems, RPA (PowerAutomate), Java, Javascript, Typescript, ProCobol, Shell, AWS",名古屋・豊田市周辺、リモート併用可案件あり、個人事業主可否は案件による、長期参画歓迎、複数名募集案件あり,"スキル見合い, 50万円台前半まで",株式会社インフロントからの注力案件紹介。OutSystems、RPA、Java、Typescript、ProCobol、AWSなどの技術者を募集。名古屋・豊田市周辺でリモート併用可能な案件も含む。個人事業主可否は案件による。
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, クライアント管理ツール, Active Directory",大規模クライアント基盤運用・保守/更改、神谷町、即日～長期、2名募集、外国籍・年齢不問、休日/夜間作業可能性あり,スキル見合い（75万）,大規模クライアント基盤の運用・保守/更改案件。仮想デスクトップ、Windowsクライアント、Windowsサーバ経験者募集。神谷町勤務、単価75万、2名募集、外国籍・年齢不問。
"Azure, 仮想基盤, ネットワーク, Fortigate, Cisco, Alaxla",週2出社（水・金）、即日～長期、外国籍不可、弊社交代枠、大崎エリア,80万程度,Azureネットワーク／VM詳細設計支援（オンプレ共存環境）。Azure環境のネットワーク詳細設計、VM設定、オンプレ共存要件整理、リソース構成設計、ドキュメント作成、調整業務。
"TypeScript, React, PostgreSQL, Linux, mcframe, 基本設計","フルリモート, リモート併用可, 個人事業主OK, アジャイル開発経験, DDD, GIS, VC++開発経験, リード・フォロー経験, ドキュメント作成能力, コミュニケーション能力, 名古屋市内出社あり, 東海三県住まいの方希望",スキル見合い (140-180h),"株式会社インフロントからの複数案件募集。共通ライブラリ開発（TypeScript, React等、フルリモート、個人事業主OK）と製造業mcframeシステム構築（mcframe経験者、リモート併用可、名古屋出社あり）の技術者を募集。"
"VB.NET, .NET Framework, DB設計, WinForms","常駐, 岩本町, 面談1回, 外国籍可, 複数名募集 (SE1名, PG2名), 2026年1月～, 商流貴社まで",60万前後（スキル見合い）,VB.NET / .NET Frameworkを用いた業務アプリケーション開発案件。WinForms、帳票作成、DB連携を含む業務アプリケーション開発の基本設計～総合テストを担当。
"ネットワーク設計, CISCO系NW機器構築・設定, CCNP/CCNA, CISCO ACI, Firewall, LoadBalancer","作業場所:赤坂見附/溜池山王(テレワーク主体), 期間:1月～長期, 人数:1名, 精算:140H-180H, 年齢:40才以下, 国籍:日本, 顔合わせ:Max2回, 深夜商用作業あり",～75万円,キャリア系データセンタネットワークのSI案件。ネットワーク設計～構築を担当。CISCO系NW機器の経験必須。
"Windows Server, VMware, CCNA, Cisco, Fotigate, RHEL, Hyper-V, VxRail, PowerEdge, Horizon Client","維持管理保守, 運用保守, 長期, リモート併用(大崎), 商流制限(貴社まで), 面談2回, インフラ維持管理経験3年以上, ドキュメント作成経験, 課題改善経験, コミュニケーション能力, 自発性, 運用設計経験(尚可)",MAX70万,某SIerの運用保守案件における支援業務。約300件の運用保守案件の管理、コールセンター管理、各案件フォローを担当。サーバ・NW両方の技術領域に触れる。
"Azure, 仮想基盤, ネットワーク",週2出社（水・金）のリモート併用（大崎エリア）、即日開始、長期、外国籍不可、弊社交代枠、Azure詳細設計/VM払い出し経験重視,80万程度（スキル見合い）,Azureネットワークと仮想基盤の詳細設計支援。オンプレ共存環境でのAzureネットワーク設計、VM設定、ドキュメント作成、調整業務。
"VB.NET, VisualStudio, SQL Server",オンライン納付機能追加、単体・結合・総合テスト、単体・結合仕様書作成、打鍵、障害分析経験、場所:赤坂見附/霞が関、期間:2026年1月～、面談:弊社同席1回、募集:1名、商流:貴社社員のみ、外国籍不可,MAX60万,オンライン納付機能追加案件。VB.NET、VisualStudio、SQL Server経験者募集。単体・結合・総合テスト工程。MAX60万。赤坂見附/霞が関。2026年1月～。
"システム開発PJ経験3年以上, リーダー経験, 日英コミュニケーション, プロジェクト管理ツール使用経験","派遣のみ, 品川シーサイド（出勤多め）, 1月下旬～2月開始, 面談2回, 支払いサイト45日, 弊社メンバー参画, 若手多め, 外国籍は国内経験5年以上, プログラミングスキル不要（テスト経験可）, インド人エンジニアとの連携あり",140-180万円/月（スキル見合い）,課金システム開発PJのテストフェーズにおける日英ブリッジ対応。海外ベンダーと国内担当者の間に入り、問題解決や会議参加を通じてPJをサポートする。
"C++, 組込",勤務地: 東京/千葉/神奈川/リモート併用/フルリモート、期間: 即日～中長期、面談1回、年齢不問、複数名募集、商流: 現場→弊社、概要: C++組込システムの設計・構築・保守開発,50～max70万前後,Astro社からのC++組込案件。東京/千葉/神奈川またはリモートで、50～70万円。複数名募集。
"AWS, クラウド設計・構築, インフラ, Azure, 上流工程, 開発","勤務地: 東京/千葉/神奈川/リモート併用/フルリモート, 期間: 即日～中長期, 面談: 1回(Web), 年齢不問, 複数名募集(SE/PG), 商流: 現場→弊社",60～100万円/月 (精算あり),某業界向けシステムのクラウド設計・構築案件。AWS経験必須のインフラエンジニアを複数名募集。リモートワーク可能で、単価は60～100万円。
"PL/SQL, RDB, 上流工程, データベース","SE/PG, 年齢不問, 東京/千葉/神奈川/リモート併用, 即日～中長期, 複数名募集, 商流：現場→アストロ, 面談1回(Web), システム開発(既存/新規), 基本設計～テストまたは下流工程, システム保守開発",50～max80万前後（精算あり）,"株式会社アストロからのSE/PG募集案件。PL/SQL, RDB開発経験必須。東京/千葉/神奈川またはリモート併用。単価50～80万円。複数名募集で年齢不問。基本設計～テストまたは下流工程を担当。"
"Java, Spring, AWS, SpringBoot","年齢不問, 複数名募集(SE & PG), 場所選択可能(東京/千葉/神奈川/フルリモート/テレワーク併用), 期間:即日or2月～中長期想定, 商流:現場→弊社, 面談1回(Web面談、弊社同席), 上流工程経験尚可",50～max85万前後（精算あり）,某業界向けシステム開発案件。民間企業向けシステム開発（既存/新規）における基本設計～テスト、または下流工程（製造メイン）～システム保守開発関連。募集ポジションはスキル見合いで相談。
"PHP, AWS, Laravel","年齢不問, 複数名募集 (SE/PG), 東京/千葉/神奈川またはフルリモート, 即日～中長期, 面談1回 (Web), 基本設計～テスト (下流工程メインも可)",50～max85万前後（精算あり）,某業界向けシステム開発案件のSE/PG募集。PHP必須、AWS/Laravel尚可。東京/千葉/神奈川またはフルリモート。単価50～85万。
"Cisco, Aruba, PaloAlto, FortiGate, Meraki, Mist, A10, BIG-IP, ネットワーク, L2/3, LB/FW, 無線, SASE, セキュリティ, 要件定義, 基本設計, 詳細設計, 構築, 単体試験, 結合試験, AWS, Azure, MS365","リーダ/メンバー複数名募集, プロジェクトリーダ経験, メンバー育成経験, 詳細設計工程経験, ネットワーク構成図作成, 準委任, 商流制限:貴社まで(個人事業主可), 2026年1月～長期, 飯田橋(リモートあり), 9:00-17:30(深夜/休日勤務可能性あり), 面談2回(1回目弊社同席)",スキル見合い,"GFD社からのネットワークインテグレーション案件。ネットワークエンジニア（リーダ/メンバー）を複数名募集。要件定義から構築、試験まで幅広い工程に対応。Cisco, PaloAlto, FortiGate, Meraki等の機器経験者。2026年1月～長期、飯田橋（リモートあり）。単価はスキル見合い。"
"M365, メール, SharePoint Online, OneDrive, Teams, Entra ID","PJ概要: Microsoft365環境改善, ポジション: 上流検討補佐, 募集人数: 2名, 稼働率: 1人月優先（部分稼働相談可）, 背景: M365有識者不足とグループ会社間の情報統制課題解決, 尚可: 金融機関での経験, 開始時期: 2月（中旬の可能性あり）, 契約形態: 準委任, 勤務地: 大手町（出社メイン）, 面談: 1回, 支払いサイト: 40日, 精算幅: 固定, 備考: 日本国籍のみ、55歳未満、遠方在住不可, その他: エンド直案件",上限130万円,Microsoft365環境改善プロジェクトにおける上流検討補佐の募集。M365経験者2名を上限130万円で募集。大手町勤務、2月開始。
"プロジェクトマネージメント, システム運用, SDLC, テクニカルナレッジ","製薬会社, 英語（読み書き・会話）, コミュニケーション能力, 外国籍不可, 飯田橋（リモート併用）, 2月～長期, 土日夜間対応の可能性あり",スキル見合,製薬会社でのPM・社員代替業務。各種調査、アプリサポート、PM、ビジネス要件取りまとめ、エンドユーザサポート、アドミン業務。PM経験、システム運用経験、SDLC理解、テクニカルナレッジ、英語、コミュニケーション能力が必須。飯田橋（リモート併用）で2月～長期。外国籍不可。
"HTML, CSS, JavaScript, SQL, BIツール","場所: 橋本駅(ほぼフルリモート), 期間: 2025年1月～長期, 募集: 若干名, 面談2回, 外国籍不可",スキル見合,"BIツールを用いたIoTシステム開発案件。HTML, CSS, JavaScript, SQLの経験者を募集。"
"DBA, Oracle DB, DBエンジニア","年齢不問, テレワーク併用可, 東京都都心部エリア, 即日または2月～長期, Oracle DBA関連作業（設計～構築～リリースを想定）",50～max90万前後（精算あり）,某企業向けシステム対応支援（DBA）の案件。Oracle DBA経験者を募集しており、単価は50～90万円前後。テレワーク併用可、年齢不問。
